F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,participant,session,clip_id,speaker,engagement_start_time,engagement_end_time,speaker_start_time,speaker_end_time,num_segments,speech_duration,label
36.579624,0.054438166,35.416256,36.605835,37.781612,2.3653564,152.92969,304.23743,35.652298,46.367634,0.35012892,0.6320671,0.16543204,0.29691553,0.5287952,0.36336315,4.797152,2.6640582,3.127599,1.5918106,0.14490646,0.7323104,24.941875,0.7514983,7.943632,1.891138,-2.8900106,-6.4676137,-10.79583,-1.2896991,0.016330624,1.0431724,1.2294433,0.68104005,9.162251,0.34787548,12.391802,1.0030849,32.792854,0.4000939,757.45087,0.22609393,1345.8235,0.17807847,-52.076214,-1.4492898,1840.9485,0.11550351,1140.4069,0.24955009,-62.123966,-1.065253,2931.0215,0.06698266,1025.0847,0.25506684,-68.37149,-0.91838074,-17.80133,-0.6759184,30.605612,0.43247905,0.07346584,0.23371643,-0.017173877,-0.95930135,0.1712619,0.5711414,30.339495,0.43306133,7.952894,1.9796854,-3.413058,-5.5197167,-14.663247,-0.82603425,-3.949999,12.343894,0.050856404,0.011241025,0.03014287,4.0685225,2.386117,0.32545456,0.22689058,0.07363636,0.047725108,-28.984083,5,13,0,SPEAKER_02,13.081,28.698,13.081,18.25596875,2,4.685593749999997,disengaged
36.212353,0.20820193,30.875538,33.837185,37.47236,6.596821,162.24947,161.14479,164.96002,177.9826,0.36814892,0.6677708,0.124873094,0.34474364,0.58295673,0.45808363,6.0929174,2.7174087,3.741416,1.7785072,0.18093777,0.87430084,16.86409,1.3943931,14.073739,0.59567225,6.0412445,2.9068463,-19.937199,-0.9243439,0.0227621,0.99019426,1.4955035,0.6396597,6.6308684,0.6727384,6.812475,1.8386786,26.23335,0.6762352,713.4653,0.28245977,1313.2664,0.23929389,-70.75698,-1.2089709,1853.3605,0.13001794,1077.3866,0.3987004,-76.300095,-0.9820016,2866.4265,0.0858457,1021.6927,0.29619178,-74.581436,-1.0107208,-17.03792,-0.85722035,25.352457,0.62613785,0.0810276,0.26838115,-0.029704165,-0.7506565,0.21385387,0.7326813,20.721918,1.0083792,14.978255,0.5476587,6.9845266,2.4809682,-23.004725,-0.79234046,-6.8220153,15.319831,0.065243125,-0.0045253527,0.10738106,4.6153846,4.1450777,0.16,0.14136241,0.079444446,0.073293336,-27.211971,5,13,0,SPEAKER_04,13.081,28.698,18.25596875,28.698,4,5.868906249999998,disengaged
45.365314,0.072426684,43.510292,45.453,46.70136,3.1910667,21.621405,14.93664,66.278076,17.306799,0.589423,0.57738215,0.27680933,0.56603134,0.84900117,0.57219183,8.670219,5.215709,4.7623105,4.571469,0.25470367,0.9543128,6.5085697,2.9685102,1.657904,6.118169,-5.867336,-2.823678,-38.738567,-0.46902418,0.01605347,1.183079,0.8452209,0.8318959,11.589691,0.45215315,21.091917,0.45778033,25.825415,0.5633289,837.3568,0.17136337,1102.0972,0.23465715,-56.2569,-1.476996,1977.5284,0.09423218,834.4456,0.29338992,-68.19424,-1.0047693,2953.2295,0.05737321,851.96814,0.41690382,-67.70595,-1.0016775,-14.487088,-0.7921286,21.362324,0.6262962,0.08365235,0.3020618,-0.023841068,-0.6232201,0.30082658,0.84236395,11.73044,1.218906,0.31275132,30.417301,-9.897482,-1.6151766,-45.635754,-0.31884074,6.114015,-0.21354225,0.05972669,-0.00091952615,0.121259734,3.6,2.8571427,0.25857142,0.1595913,0.061249997,0.02368412,-22.873257,5,13,0,SPEAKER_01,13.081,28.698,25.64721875,28.38096875,2,2.514375000000001,disengaged
34.891403,0.09637402,32.0936,35.22005,38.59389,6.50029,158.75594,169.93166,5.5067115,12.323423,0.253469,0.83765274,0.028341033,0.23489535,0.45097256,0.42263153,3.8057497,1.7692741,0.7423381,1.5324436,0.12740777,1.085363,21.632784,0.58831567,13.5059185,0.6928148,6.876711,3.1352377,-11.255991,-1.1108863,0.020415364,0.8443703,1.3189542,0.5102192,7.506206,0.42731786,14.662987,0.932265,31.712126,0.30740747,643.2193,0.3411854,1458.0948,0.17238903,-90.59251,-0.9870435,1752.6313,0.13279663,1264.5907,0.2947899,-94.055756,-0.8290029,2768.7078,0.11359716,1044.15,0.29050466,-95.151596,-0.80909175,-17.903023,-0.43640926,29.128984,0.2597367,0.063488096,0.3321377,-0.018314797,-0.8023143,0.15757594,0.76351875,25.814808,0.37481207,15.693357,0.6089764,9.685549,2.621891,-16.010841,-0.7361997,-10.932323,19.012314,0.05417701,0.009448576,0.038860902,3.896104,4.081633,0.14333333,0.09910713,0.122499995,0.08954747,-30.751478,5,13,1,SPEAKER_04,28.781,30.845,28.781,30.33846875,1,1.5574687500000017,disengaged
40.424843,0.110206686,38.595364,40.410507,43.940258,5.3448944,28.378374,32.97473,114.276,71.7185,0.49298382,0.8878103,0.18341099,0.35264772,0.6967137,0.5133027,11.514759,11.247959,6.956257,4.7768865,0.26849946,1.539801,15.582273,1.0554523,13.873588,0.93810594,-1.6705606,-10.111154,-35.83188,-0.62194,0.017745107,1.0898701,0.92105603,0.86953956,10.5519,0.44758677,15.797884,0.6090266,24.849775,0.60401094,809.25793,0.1894955,1212.7557,0.22402646,-62.392437,-1.2064276,1992.3842,0.11007793,1022.2847,0.33367288,-72.84755,-0.8736144,2964.5461,0.056466326,785.272,0.37194437,-68.188446,-0.9612474,-19.074974,-0.5615126,27.182972,0.4697399,0.0703077,0.2907705,-0.03192493,-0.56840533,0.28464755,1.3686852,18.63227,0.66321236,16.417807,0.69109863,-1.7041737,-8.900365,-39.870083,-0.5499692,-2.8049204,15.213765,0.06175614,-0.0073256968,0.22626367,2.777778,3.0444965,0.24615385,0.2524507,0.076,0.12362847,-22.482668,5,13,2,SPEAKER_01,30.845,41.633,30.96284375,35.299718750000004,1,4.336875000000003,engaged
37.998592,0.1440588,33.99111,38.521164,42.00319,8.012077,499.53238,935.4251,159.19145,281.45798,0.4942129,1.5561222,0.056452814,0.23288403,0.6231243,0.5666715,10.492903,10.108246,4.795511,4.302608,0.30367288,1.8514658,18.406446,0.88741577,3.2794247,4.493328,-8.059655,-2.2465572,-18.682268,-0.9445028,0.036607876,1.566477,1.6135333,0.7645113,7.0372906,0.60966885,9.970836,1.0852367,30.298882,0.4065757,739.2055,0.30769023,1348.4147,0.17465433,-97.57035,-0.9207301,1793.9071,0.15704001,1144.6088,0.21846882,-95.57631,-0.8460316,2854.5088,0.09547192,1052.0594,0.29881468,-99.383446,-0.7838979,-14.877792,-0.70291114,27.796902,0.42661187,0.06553707,0.35196328,-0.018270869,-1.0342526,0.42457676,1.5678686,23.157652,0.62021065,4.3815804,3.8963199,-6.453207,-2.9170766,-23.003677,-0.7263915,-6.6791716,18.80499,0.053958904,0.0028409048,0.11265796,1.330377,4.044944,0.13722222,0.1305461,0.09470589,0.09400361,-20.500568,5,13,2,SPEAKER_04,30.845,41.633,35.299718750000004,41.633,5,4.527656249999993,engaged
36.292606,0.07971728,34.285343,35.64114,39.372604,5.087261,92.33115,50.170586,13.60949,6.2274394,0.5626299,1.0473087,0.119956434,0.34905234,0.84675163,0.7267952,8.320807,4.0019717,5.2849708,2.5243585,0.26856184,1.136618,18.944304,0.8473721,7.8821845,2.144068,2.9464989,5.6682057,-14.783869,-1.1024157,0.016830727,0.98317957,1.4051707,0.6726857,8.277386,0.35687813,4.5274553,1.9575617,26.894115,0.3333752,685.0398,0.29483175,1299.1536,0.10960137,-51.499706,-1.5565962,1787.4541,0.11047637,952.2681,0.22036359,-61.635868,-1.148923,2819.2356,0.06753345,934.194,0.26900047,-64.53892,-1.0703063,-16.363344,-0.5493606,25.52815,0.33606276,0.07042398,0.26287,-0.025595427,-0.53432035,0.33957577,1.0045096,23.582304,0.41762838,5.5999527,3.366657,2.9790657,5.868377,-20.85805,-0.6222963,-6.820106,15.053055,0.04208518,0.009128096,0.044638213,3.726708,3.2051284,0.23200001,0.08518215,0.13499999,0.085,-23.29677,5,13,3,SPEAKER_04,41.854,43.651,41.854,43.651,2,1.6282500000000013,disengaged
37.285362,0.065756194,36.123512,37.355755,38.953148,2.8296356,54.338135,27.11244,37.10467,30.218649,0.3557063,0.5639786,0.15945986,0.35741436,0.51682055,0.3573607,4.5220513,1.8429247,3.5353923,1.4041098,0.18488114,0.921896,20.45061,0.88267815,19.077824,0.7219063,-0.7211429,-15.283861,-11.829136,-1.4292964,0.034014646,1.9405869,1.3699718,0.7041917,8.599512,0.47988167,17.824724,0.6220995,35.65684,0.24854979,678.0181,0.27405232,1427.0533,0.1881071,-53.447487,-1.4103564,1764.2806,0.13801299,1209.8813,0.25454092,-64.22546,-0.9375295,2845.3274,0.09292077,960.1594,0.33946,-66.84922,-0.8783362,-22.708166,-0.39126894,32.133774,0.315855,0.07685262,0.26196185,-0.022547802,-0.7664821,0.2241289,0.76056606,26.711504,0.4605048,17.88462,0.8103099,0.15817793,71.83622,-15.6160755,-1.0642576,-1.723967,7.7863874,0.060257748,0.009807885,0.027032275,4.166667,2.4691358,0.3225,0.15105876,0.0625,0.03699662,-24.7912,5,13,4,SPEAKER_02,43.651,46.526,44.83409375,46.526,1,1.6919062500000024,engaged
33.99849,0.12009413,32.99737,35.593018,35.877075,2.8797035,742.705,885.1554,138.5937,56.00421,0.27249897,0.83649653,0.035085913,0.23766802,0.45459354,0.41950762,2.4533575,0.94413596,2.6621177,0.38225678,0.107813835,0.7726276,26.676208,0.57796675,18.283022,0.8533263,4.7111893,2.9393022,-8.712971,-1.1326768,0.026125362,1.940561,1.095403,0.94828266,8.671136,0.4329486,11.020995,1.0453273,37.275043,0.27668807,725.43805,0.23829232,1394.5339,0.108763136,-82.0843,-1.074857,1845.4917,0.11085119,1191.0322,0.14582838,-91.72683,-0.8579865,2939.1882,0.077603795,1076.5327,0.3072029,-94.97861,-0.7947806,-23.393772,-0.4761092,35.838936,0.19709705,0.074596465,0.19397365,-0.017183604,-0.68089825,0.14347486,0.4883119,35.97248,0.14470056,16.802237,1.0736195,3.9703958,4.181326,-12.416434,-0.68041956,-12.158839,20.186361,0.039831948,0.0111617055,0.038209926,3.478261,2.7522936,0.22666666,0.19067132,0.17999999,0.14999999,-29.094904,5,13,5,SPEAKER_02,46.531,48.018,46.531,48.018,2,1.1663750000000022,disengaged
36.681957,0.12190398,34.720543,36.09169,37.866318,3.1457748,197.66678,137.34378,276.25574,789.4882,0.29841948,0.7169378,0.115511194,0.26117802,0.47703955,0.36152834,4.823859,3.4846005,3.0018024,1.679091,0.12383823,1.0469631,18.414808,1.2901056,10.911196,1.3764364,-4.166334,-4.0149865,-10.719063,-1.4588284,0.023888336,1.5730634,1.2600667,0.75213933,8.195685,0.52654725,9.7990055,1.2126932,32.697994,0.4657091,734.299,0.24901992,1382.3447,0.2294601,-78.72583,-1.129538,1828.7284,0.12358384,1140.5779,0.29072905,-83.56761,-0.9406032,2920.894,0.086809464,1028.329,0.29678747,-87.68477,-0.85950285,-17.14568,-0.7894657,28.923687,0.510628,0.073719665,0.2561317,-0.016754486,-1.2217064,0.16747071,0.7879107,28.429317,0.62386096,10.561792,1.4683633,-3.4296093,-5.143421,-16.508907,-0.8849828,-1.33562,9.264043,0.048239794,0.015644489,0.03423403,3.1096566,2.713816,0.23787877,0.17176017,0.117741935,0.11896624,-29.37169,5,13,7,SPEAKER_02,49.19,63.23,49.19,63.23,3,12.234375,disengaged
30.1503,0.15518335,26.925604,27.625713,33.718273,6.7926693,149.78458,97.933075,64.473854,81.54599,0.30552033,0.7340617,0.12917335,0.2375866,0.43726945,0.3080961,4.565158,2.7617912,1.765868,1.988362,0.12510075,1.1671702,27.17978,0.4570627,10.478941,1.0394047,3.9071054,5.0869565,-13.131625,-0.8830405,0.02723575,1.5349385,1.1766428,0.69721866,5.379073,0.6125413,4.071853,1.95611,27.403418,0.39470795,640.3442,0.3959015,1414.4012,0.2083015,-47.98129,-1.5755566,1715.9945,0.18571493,1097.7838,0.26614234,-56.561424,-1.2066009,2806.2986,0.11467637,1018.94806,0.4144419,-60.354443,-1.0963297,-17.289452,-0.44192976,28.626871,0.25008097,0.05785362,0.30678746,-0.020442583,-0.6127709,0.12863214,1.1862832,30.009153,0.2843884,11.6967325,0.88973683,5.606884,3.6591034,-13.986444,-0.80048,-9.526281,23.281113,0.053854384,-0.005553408,0.12420673,2.4630542,3.0456855,0.25166667,0.19445793,0.056666665,0.028674418,-31.257334,5,13,9,SPEAKER_04,66.051,71.074,66.88971875,70.28159375,2,2.0418749999999903,disengaged
34.713177,0.12344043,31.059252,34.501957,36.045883,4.9866314,243.17696,322.01477,32.906834,35.898342,0.38834143,0.60984397,0.19234869,0.33587998,0.57083684,0.37848815,4.7821927,3.1131918,4.285767,1.754258,0.15641308,0.86436254,22.893755,0.60034883,9.817406,1.3200356,3.0832217,7.1942945,-18.600817,-0.6846223,0.025294917,1.6602833,1.2380211,0.71733016,7.949923,0.5798116,11.289954,1.0095748,30.329357,0.2695275,651.39154,0.30960548,1370.2122,0.1936739,-59.518562,-1.3969547,1757.6764,0.14871222,1090.0933,0.3043399,-68.96285,-1.0506104,2776.5923,0.084746644,977.9662,0.32577044,-71.64092,-0.9858706,-17.855583,-0.4670914,26.842365,0.28890392,0.072399326,0.22541882,-0.022475105,-0.64993256,0.17090072,0.7239994,26.342299,0.41416222,11.469514,1.0830365,5.80702,3.5955887,-20.893568,-0.5521841,-6.415365,17.384266,0.05129456,-0.0055039055,0.12153618,3.8720539,2.7164686,0.265,0.19393942,0.093571424,0.059234057,-28.051542,5,13,10,SPEAKER_04,71.074,85.933,73.94346875000001,85.75596875000001,5,5.956874999999997,disengaged
