F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,participant,session,engagement_id,speaker,engagement_start_time,engagement_end_time,speaker_start_time,speaker_end_time,num_segments,speech_duration,merged_duration,label
37.693157,0.16786003,34.661263,36.378056,38.803905,4.142643,413.74377,544.01324,69.81943,106.42794,0.42766058,0.49850312,0.23706456,0.38052022,0.6160112,0.37894666,4.3384414,2.2486172,3.2302418,1.6044413,0.17550357,0.7610158,26.737118,0.39953566,4.6976247,2.3716433,-13.215821,-0.97483766,-13.186182,-0.890583,0.023672178,1.6893507,1.1743107,0.6049533,7.885288,0.46967885,6.452875,1.6673791,30.640692,0.3546991,765.2854,0.23740919,1305.3231,0.16162732,-79.022026,-1.102249,1832.1626,0.14877513,1110.4072,0.2940172,-81.104126,-0.9501952,2931.6426,0.10351847,1017.7763,0.27042034,-86.71753,-0.83595353,-16.052368,-0.53283507,29.324821,0.28380626,0.061618444,0.33854613,-0.02031139,-0.72732145,0.2153454,0.6357708,30.216219,0.27494535,5.418846,2.1463645,-12.43966,-1.0710753,-15.949603,-0.71081084,-9.980474,20.129465,0.04255133,-0.009984453,0.09277127,4.0525737,3.349808,0.1942623,0.15429862,0.09089286,0.07476813,-26.845203,17,3,0,SPEAKER_05,0.0,65.466667,0.03096875,24.49971875,10,18.27562499999999,18.275625,engaged
32.80767,0.29226848,25.422298,28.383204,37.075745,11.653446,120.135086,87.43829,138.44098,101.41145,0.14407656,0.39981982,0.10045018,0.13124117,0.18205845,0.08160827,1.4630662,1.5088496,1.2633246,1.3240367,0.028135084,0.87101054,21.94091,0.38187036,-2.3082888,-3.016113,-11.996756,-0.82261246,-5.360778,-2.0410209,0.032468054,1.5469753,1.3141366,0.45403185,3.5846112,0.7650013,2.283138,4.4008093,21.212238,0.46261543,788.1921,0.22867337,1250.5659,0.16113402,-133.56346,-0.6960222,1788.628,0.12487166,1121.47,0.2557836,-132.73654,-0.6705012,2841.3132,0.088093586,943.3093,0.3819626,-136.16444,-0.6212979,-8.419328,-0.6210182,23.005062,0.26363307,0.03555026,0.53341156,-0.0024633112,-6.3886175,0.033886515,0.6292542,25.70302,0.20691393,-4.892538,-1.4918046,-14.920579,-0.80803436,-5.5111036,-2.2000475,-6.3063264,18.62182,0.02756145,0.0043449663,0.02585834,3.1250002,2.2767074,0.14384614,0.174512,0.2753846,0.3179409,-46.048454,17,3,0,SPEAKER_04,0.0,65.466667,12.51846875,40.37909375,4,5.771249999999997,5.77125,engaged
38.34678,0.08440365,35.87086,37.91094,39.324005,3.453144,38.653816,24.55791,313.85135,413.3647,0.1344976,0.35551018,0.09338683,0.12105443,0.1762443,0.082857475,1.0352093,0.73851883,0.7101663,0.1899884,0.021865712,0.5368332,22.837175,0.35076106,-0.3621131,-28.504328,-9.737714,-1.0721418,-4.7218676,-2.2057633,0.019305473,0.99089843,1.0836904,0.5424749,7.4552374,0.4012057,-0.8078537,-10.433594,15.739778,0.6075545,833.76624,0.13357717,1254.0035,0.15383512,-107.65128,-0.8538307,1795.8483,0.092276245,1064.6648,0.25820777,-110.70587,-0.7761968,2847.27,0.059402138,735.5825,0.28363267,-114.2407,-0.7227373,-9.445632,-0.61419034,20.910551,0.41211614,0.028345045,0.4195683,-0.0030526333,-3.6749542,0.023962336,0.43391168,26.021475,0.20001432,-4.239077,-2.4528947,-8.654711,-1.2186323,-3.9550426,-2.3619633,-8.787043,19.483103,0.016807867,-0.004608611,0.020249316,4.3613706,3.1645572,0.147,0.113758504,0.13454545,0.14157322,-47.570007,17,3,0,SPEAKER_00,0.0,65.466667,28.65096875,35.299718750000004,4,3.2231250000000067,3.223125,engaged
38.76862,0.14038196,35.008286,37.52782,40.09674,5.088455,424.29028,413.79413,165.73988,151.19751,0.31078112,0.61527276,0.16125712,0.25256923,0.42228064,0.26102352,4.806705,2.9637933,3.1422703,1.6930968,0.093170494,0.6286095,22.858566,0.25539848,1.0070102,9.1553135,-7.4623547,-1.5557001,-3.3331985,-4.368887,0.022115374,0.9801801,1.3223411,0.464948,7.560544,0.43605503,10.853416,1.1270936,30.564505,0.28436282,799.4042,0.20636217,1342.5718,0.17994462,-103.40928,-0.8686679,1764.688,0.07855675,1064.3805,0.25817993,-106.655014,-0.7827041,2868.0986,0.059559416,913.1926,0.4811343,-113.23953,-0.6841432,-12.69227,-0.46736097,24.63371,0.21154864,0.061795022,0.414655,-0.008885658,-1.6835991,0.12561752,0.5275627,22.979063,0.24291332,-2.4064803,-4.183163,-12.286039,-1.062504,-9.619268,-1.5043494,-11.951695,22.208303,0.04803165,-0.0020917093,0.065149285,3.7037036,5.3846154,0.08571428,0.045936957,0.08,0.037416574,-32.13356,17,3,2,SPEAKER_03,69.6,86.133333,70.29846875,74.95596875000001,2,1.3668750000000074,1.366875,engaged
42.99141,0.06396615,41.717216,41.891506,43.93277,2.2155533,119.30519,77.35239,197.22055,198.63408,0.621076,0.9228512,0.2792862,0.40528572,0.695429,0.41614282,22.875067,14.619901,16.017796,23.238169,0.4137608,2.1626024,25.653439,0.3458937,7.3067975,1.8451742,-3.4400067,-4.4330482,-22.20094,-0.5972883,0.016766557,3.0402114,0.6033361,1.2096319,14.28676,0.29771906,13.79046,0.6443888,25.583036,0.23440811,914.7668,0.1922833,1458.8544,0.2515862,-34.94311,-0.9933971,1933.7341,0.10339877,1233.0614,0.21075308,-39.819275,-0.69601905,3030.939,0.06406881,1003.51013,0.28028855,-46.807682,-0.56428844,-26.23972,-0.31992325,35.975773,0.20303878,0.048318043,0.34715083,-0.016303364,-0.49384224,0.33650202,2.2583678,26.373657,0.3249456,9.105034,1.3043187,-1.9101347,-7.505569,-22.068298,-0.612556,-0.87881374,21.024336,0.042802863,-0.018209184,2.1442435,1.724138,1.4184397,0.66999996,0.841041,0.03,0.0,-18.715536,17,3,2,SPEAKER_04,69.6,86.133333,77.63909375,83.39346875000001,4,2.919374999999988,2.919375,engaged
39.135372,0.13440228,40.34355,41.223137,41.616444,1.272892,246.61795,75.2049,89.66648,57.22856,0.37341526,0.49882877,0.19901678,0.36237168,0.47108412,0.27206734,4.3421693,1.896806,1.1011138,2.3518915,0.12274115,1.5371336,30.010477,0.20848188,9.911358,0.6711206,-4.639321,-1.5403249,-14.684715,-0.99305016,0.036194637,2.507226,0.67744845,1.1983155,13.103939,0.36361977,21.74964,0.5117348,38.262974,0.16078112,767.8928,0.18506865,1345.5242,0.1555823,-63.42087,-1.1516491,1844.817,0.10592559,1059.2415,0.21762621,-64.14,-1.0338207,3032.976,0.0582771,852.09985,0.22235505,-73.40593,-0.84624106,-24.782259,-0.2768656,35.644203,0.12031172,0.0529943,0.309161,-0.020880809,-0.72532696,0.14538303,1.4268234,32.339138,0.092089824,10.658008,0.5549299,-4.696147,-1.5892216,-19.582155,-0.6306576,-11.503129,21.594255,0.026539255,0.0033567501,0.041662026,1.4778326,1.5228428,0.51666665,0.46226493,0.12,0.0697615,-25.726597,17,3,2,SPEAKER_05,69.6,86.133333,81.67221875,85.97534375000001,3,2.0418750000000188,2.041875,engaged
36.58471,0.0919369,34.998173,37.25285,38.33026,3.3320885,121.29331,101.77398,37.212803,34.93446,0.47856328,0.46653733,0.24514931,0.4993576,0.6325231,0.3873738,5.662188,3.6366014,2.7735803,1.4303867,0.22947742,0.7372323,30.55672,0.2645026,2.0070407,5.16241,-8.955769,-1.172444,-13.366936,-0.9322449,0.026291437,1.9470447,1.2203554,0.7973141,8.203612,0.4129156,4.820248,2.5357592,29.85285,0.34214005,834.3709,0.15025216,1203.2151,0.13711561,-53.799362,-1.4649187,1947.211,0.10817309,956.9861,0.25603303,-63.805386,-1.0951645,3096.0854,0.086192995,965.28796,0.30981767,-71.07377,-0.92607594,-17.738752,-0.44972172,28.933119,0.26686117,0.06990307,0.3125907,-0.020430133,-0.7955787,0.25116125,0.6661616,32.622974,0.1672009,3.1454277,3.341442,-9.468443,-1.1713173,-16.06237,-0.7143909,-11.748772,23.537666,0.051633112,-0.0033212951,0.17687877,4.49827,2.464789,0.30571428,0.27437496,0.06875,0.040446725,-25.447752,17,3,3,SPEAKER_05,86.166667,89.1,86.19471875,89.1,1,2.9052812499999874,2.9053125,disengaged
39.118526,0.14972298,35.25511,36.862976,41.24987,5.9947586,295.80734,316.92593,62.173916,74.95382,0.5434362,0.6716383,0.27873534,0.4422767,0.7284412,0.44970584,5.3800015,4.825017,3.7958658,2.6590474,0.21739061,1.0593773,26.36816,0.4236,3.327509,3.3212266,-15.626252,-0.7176528,-16.36159,-0.8924097,0.027065938,1.8829811,1.0974916,0.5533645,8.391427,0.45656005,9.179819,1.1817775,27.835365,0.60262966,820.58954,0.19325216,1262.1606,0.19754872,-54.274693,-1.4437252,1876.3147,0.13377988,1101.2267,0.31753445,-62.724,-1.1014678,2974.912,0.086599015,955.513,0.2652055,-69.09174,-0.9483476,-14.550806,-0.6446701,29.202654,0.26683372,0.067026064,0.30918336,-0.016837586,-1.0433992,0.24797352,0.98696923,28.771706,0.32481837,3.3741965,3.4190655,-15.291581,-0.7741975,-18.130491,-0.8350488,-9.348444,19.531805,0.048780635,-0.009179281,0.115993634,2.7642276,2.367347,0.3213793,0.36555785,0.099565215,0.07948083,-23.71961,17,3,4,SPEAKER_05,89.133333,115.833333,89.133333,103.03596875,5,12.316385749999995,12.316375,engaged
42.3551,0.2422419,34.24461,37.09299,55.03137,20.786758,306.43555,481.98965,94.76249,87.20444,0.5947845,1.3311301,0.14847703,0.28572273,0.6679737,0.5194967,8.84539,7.372432,7.0962124,8.005877,0.40874726,1.944869,22.442093,0.4806095,5.1175246,2.6894276,-10.126957,-1.1769408,-17.702827,-0.7412108,0.03334405,1.4765031,1.032099,0.7786217,9.99259,0.47406432,5.5543394,1.5949875,23.066763,0.4513881,855.4099,0.17952333,1251.3856,0.1657546,-110.2596,-0.81918234,1892.6068,0.11184881,1012.6362,0.25398192,-104.06593,-0.78985727,2974.8684,0.06910469,875.35657,0.3053129,-107.28531,-0.73920965,-17.242487,-0.3440111,29.05353,0.26167393,0.050455272,0.4566168,-0.026016966,-0.52838236,0.6276851,1.5372247,22.936142,0.5263999,2.8726585,5.6980486,-11.471826,-1.1935344,-22.488426,-0.5795966,-12.529988,24.046316,0.04307814,-0.013535149,0.14342622,1.9097223,2.8021016,0.189375,0.19657914,0.1776923,0.15237372,-15.920466,17,3,4,SPEAKER_03,89.133333,115.833333,102.73221875,115.55721875,6,5.771249999999981,5.77125,engaged
32.03486,0.083671935,29.729898,30.88937,34.34256,4.6126614,1.1504444,0.0,0.0,0.0,0.16394131,0.26449075,0.12562619,0.14248642,0.21127012,0.08564393,1.4164149,0.9325369,1.9111952,0.0,0.044946592,0.4554509,23.437342,0.17521057,8.797476,0.37254825,-10.326293,-0.3151977,-12.094065,-0.6061502,0.07734198,0.54779863,2.1300507,0.60060424,7.670117,0.07647076,-8.122287,-2.4543533,27.094038,0.28363448,851.322,0.2679094,1768.5398,0.06939168,-73.36513,-1.2089182,1505.1763,0.038243458,1486.9462,0.122257225,-67.54336,-1.259396,2821.6182,0.04396757,1043.9344,0.20270714,-78.60462,-0.9914563,-20.44424,-0.08841893,36.243843,0.06166622,0.09754409,0.11849704,-0.0012667848,-5.826123,0.06306553,0.38187462,26.615753,0.046054572,7.4935713,0.38707012,-12.51752,-0.13025333,-19.388641,-0.11865359,-16.445316,28.317474,0.07175864,-0.009632668,0.06641168,7.142857,11.111112,0.049999997,0.0,0.02,0.0,-40.281033,17,3,4,SPEAKER_06,89.133333,115.833333,109.53284375,109.68471875,1,0.15187500000000398,0.151875,engaged
